region,year,month_num,month,IDI,IDI_with_infra
속초,2025,1,2025-01,-0.0170878296650487,0.007088674528577348
속초,2025,2,2025-02,-0.599083057912862,-0.42940774665728265
속초,2025,3,2025-03,-0.35271354679467687,-0.24463061331864377
속초,2025,4,2025-04,-0.11210183591416523,-0.06417183015826004
속초,2025,5,2025-05,-0.14937778876590532,-0.09212879479706512
속초,2025,6,2025-06,-0.7593122817979351,-0.5495796645710874
속초,2025,7,2025-07,-0.9439796623470759,-0.688080199982943
속초,2025,8,2025-08,-0.7725453282284725,-0.5595044493939906
속초,2025,9,2025-09,-0.4348957393505312,-0.30626725773553454
속초,2025,10,2025-10,0.6508981441689405,0.5080781549040693
원주,2023,1,2023-01,0.006275136168702659,-0.14765044391896887
원주,2023,2,2023-02,-0.08730134793774762,-0.21783280699880658
원주,2023,3,2023-03,-0.7237138980918373,-0.6951422196143738
원주,2023,4,2023-04,-1.1320575694310016,-1.001399973118747
원주,2023,5,2023-05,-0.7969271595269554,-0.7500521656907124
원주,2023,6,2023-06,-0.5473919736971761,-0.5629007763183779
원주,2023,7,2023-07,0.01657131855171164,-0.13992830713171214
원주,2023,8,2023-08,0.23470934913471456,0.02367521580554005
원주,2023,9,2023-09,0.5133722168343572,0.23267236658027204
원주,2023,10,2023-10,0.4739794449400687,0.20312778765955566
원주,2023,11,2023-11,0.6201687994544169,0.3127698035453168
원주,2023,12,2023-12,0.914701285895493,0.5336691683761239
원주,2024,1,2024-01,1.177371148205724,0.7306715651087972
원주,2024,2,2024-02,1.0368220474163583,0.6252597395167728
원주,2024,3,2024-03,1.0286204887284882,0.6191085705008703
원주,2024,4,2024-04,0.4963225237837247,0.21988509679229765
원주,2024,5,2024-05,0.002237601304652115,-0.1506785950670068
원주,2024,6,2024-06,-0.6359860689013349,-0.629346347721497
원주,2024,7,2024-07,-0.06942942386851159,-0.20442886394687956
원주,2024,8,2024-08,0.10924605519476992,-0.07042225464941844
원주,2024,9,2024-09,0.1553574051059983,-0.03583874221599716
원주,2024,10,2024-10,0.5193570497412512,0.23716099126044252
원주,2024,11,2024-11,0.7195000444643022,0.38726823730273074
원주,2024,12,2024-12,1.0498778106329263,0.6350515619291989
원주,2025,1,2025-01,0.6010738363510987,0.29844858121782813
원주,2025,2,2025-02,0.08255537075363689,-0.0904402679802682
원주,2025,3,2025-03,-0.38745572518214483,-0.4429485899321045
원주,2025,4,2025-04,-0.28781188979786815,-0.368215713393897
원주,2025,5,2025-05,-0.25625265198331815,-0.34454628503298446
원주,2025,6,2025-06,-0.6938930749643938,-0.6727766022687912
원주,2025,7,2025-07,-0.6172340430439058,-0.6152823283284252
원주,2025,8,2025-08,-0.48536963888915796,-0.5163840252123644
원주,2025,9,2025-09,-0.31218257142349093,-0.38649372461311404
원주,2025,10,2025-10,0.3989335377507244,0.1468433572675474
인제,2023,1,2023-01,0.3341362990427748,0.3978642928128864
인제,2023,2,2023-02,0.3901836126121531,0.4398997779899201
인제,2023,3,2023-03,-0.1720353188597076,0.01823557938602452
인제,2023,4,2023-04,-0.35903469446355535,-0.12201395231686127
인제,2023,5,2023-05,-0.2942988059791882,-0.07346203595358594
인제,2023,6,2023-06,-0.27187853067112105,-0.05664682947253555
인제,2023,7,2023-07,0.11031039580630564,0.22999486538553446
인제,2023,8,2023-08,0.12276722793135138,0.23933748947931877
인제,2023,9,2023-09,0.401430095630994,0.4483346402540508
인제,2023,10,2023-10,0.2981483743158973,0.3708733492677282
인제,2023,11,2023-11,0.598907767751556,0.5964428943444722
인제,2023,12,2023-12,0.8831355849312112,0.8096137572292137
인제,2024,1,2024-01,1.3037763075672595,1.1250942992062498
인제,2024,2,2024-02,1.1248938371254087,0.9909324463748618
인제,2024,3,2024-03,1.1764593601537785,1.0296065886461392
인제,2024,4,2024-04,0.6111864535724688,0.6056519087101568
인제,2024,5,2024-05,0.09195813809552977,0.21623067210245256
인제,2024,6,2024-06,-0.5611042558469029,-0.273566123354372
인제,2024,7,2024-07,0.05079293393617131,0.1853567689829337
인제,2024,8,2024-08,0.05799871648941244,0.19076110589786455
인제,2024,9,2024-09,0.1045222531710976,0.22565375840912844
인제,2024,10,2024-10,0.5196330573429971,0.5369868615380531
인제,2024,11,2024-11,0.9023747913784229,0.8240431620646225
인제,2024,12,2024-12,1.1849388921740551,1.0359662376613465
인제,2025,1,2025-01,0.7471227273831036,0.707604114068133
