region,month,SPI_raw,year,month_num,WUI_raw,SSI_global_raw,infra_index,SPI_z,WUI_z,SSI_z,infra_z,IDI,IDI_with_infra
속초,2023-03,0.194,2023,3,80.8,57.384408602150536,0.4675581374046513,0.15222680908757902,0.18106984063765275,-0.8195246806854578,0.0796181871094555,-0.16207601032007535,-0.10165246096269263
속초,2023-04,-0.382,2023,4,80.8,54.42122222222222,0.4675581374046513,-0.5600319302618196,0.18106984063765275,-1.155468830827573,0.0796181871094555,-0.5114769734839132,-0.36370318333557106
속초,2023-05,-0.729,2023,5,80.8,54.32365591397849,0.4675581374046513,-0.9891183583073774,0.18106984063765275,-1.166530177061972,0.0796181871094555,-0.6581928982438989,-0.47374012690556033
속초,2023-06,-0.215,2023,6,80.8,51.623,0.4675581374046513,-0.3535263582629488,0.18106984063765275,-1.4727105651716563,0.0796181871094555,-0.5483890275989841,-0.39138722392187425
속초,2023-07,0.129,2023,7,80.8,57.122580645161285,0.4675581374046513,0.07185038884849757,0.18106984063765275,-0.8492087974490912,0.0796181871094555,-0.19876285598764695,-0.12916759521337134
속초,2023-08,1.036,2023,8,80.8,63.80010752688171,0.4675581374046513,1.1934105912615263,0.18106984063765275,-0.09216019985633225,0.0796181871094555,0.42744007734761563,0.3404846047880756
속초,2023-09,1.16,2023,9,80.8,72.75544444444444,0.4675581374046513,1.346744069871466,0.18106984063765275,0.923129648391316,0.0796181871094555,0.8169811863001449,0.6326404365024726
속초,2023-10,1.23,2023,10,80.8,75.08333333333336,0.4675581374046513,1.4333032916674,0.18106984063765275,1.1870484689219298,0.0796181871094555,0.9338072004089941,0.7202599470841095
속초,2023-11,0.211,2023,11,80.8,75.25422222222223,0.4675581374046513,0.17324833438087722,0.18106984063765275,1.2064225869103806,0.0796181871094555,0.5202469206429702,0.4100897372595915
속초,2023-12,0.447,2023,12,80.8,75.03129032258066,0.4675581374046513,0.46507656786431134,0.18106984063765275,1.1811482173763033,0.0796181871094555,0.6090982086260891,0.4767282032469307
속초,2024-01,0.923,2024,1,82.3,74.22086021505375,0.4675581374046513,1.0536792760766618,0.3267910604474857,1.0892676473362581,0.0796181871094555,0.8232459946201353,0.6373390427424653
속초,2024-02,1.325,2024,2,82.3,73.21758620689656,0.4675581374046513,1.550776521247596,0.3267910604474857,0.9755238624994114,0.0796181871094555,0.9510304813981643,0.7331774078259871
속초,2024-03,1.187,2024,3,82.3,77.35247311827958,0.4675581374046513,1.3801311982784694,0.3267910604474857,1.4443067506726244,0.0796181871094555,1.0504096697995264,0.8077117991270087
속초,2024-04,0.76,2024,4,82.3,71.74188888888891,0.4675581374046513,0.8521199453232728,0.3267910604474857,0.8082202177731993,0.0796181871094555,0.6623770745146526,0.5166873526633533
속초,2024-05,0.452,2024,5,82.3,61.732580645161285,0.4675581374046513,0.4712593694211638,0.3267910604474857,-0.32656110216891254,0.0796181871094555,0.15716310923324564,0.1377768787022981
속초,2024-06,-0.393,2024,6,82.3,49.283444444444434,0.4675581374046513,-0.5736340936868949,0.3267910604474857,-1.7379520660590866,0.0796181871094555,-0.6615983664328319,-0.47629422804726007
속초,2024-07,-0.359,2024,7,82.3,55.669677419354834,0.4675581374046513,-0.5315910431002985,0.3267910604474857,-1.0139282166319283,0.0796181871094555,-0.4062427330949137,-0.28477750304382143
속초,2024-08,-1.559,2024,8,82.3,61.237526881720434,0.4675581374046513,-2.0154634167448786,0.3267910604474857,-0.3826866354665566,0.0796181871094555,-0.6904529972546499,-0.49793520116362355
속초,2024-09,-1.319,2024,9,82.3,65.10811111111111,0.4675581374046513,-1.7186889420159626,0.3267910604474857,0.05613156993015602,0.0796181871094555,-0.44525543721277355,-0.3140370311322163
속초,2024-10,-0.138,2024,10,82.3,75.67806451612903,0.4675581374046513,-0.2583112142874216,0.3267910604474857,1.2544746906137763,0.0796181871094555,0.4409848455912801,0.3506431809708239
속초,2024-11,0.8,2024,11,82.3,77.69111111111111,0.4675581374046513,0.9015823577780921,0.3267910604474857,1.4826990210604136,0.0796181871094555,0.9036908130953304,0.6976726565988617
속초,2024-12,0.862,2024,12,82.3,75.07913978494622,0.4675581374046513,0.9782490970830621,0.3267910604474857,1.1865730354296127,0.0796181871094555,0.8305377309867201,0.642807845017404
속초,2025-01,-0.895,2025,1,83.3,70.95655913978494,0.4675581374046513,-1.1943873699948777,0.4239385403207076,0.719185340679024,0.0796181871094555,-0.0170878296650487,0.007088674528577348
속초,2025-02,-1.876,2025,2,83.3,66.25595238095238,0.4675581374046513,-2.407453035449322,0.4239385403207076,0.18626532139002827,0.0796181871094555,-0.599083057912862,-0.42940774665728265
속초,2025-03,-0.972,2025,3,83.3,62.9152688172043,0.4675581374046513,-1.2896025139704048,0.4239385403207076,-0.1924766667343335,0.0796181871094555,-0.35271354679467687,-0.24463061331864377
속초,2025-04,-0.386,2025,4,83.3,62.89066666666667,0.4675581374046513,-0.5649781715073016,0.4239385403207076,-0.1952658765559017,0.0796181871094555,-0.11210183591416523,-0.06417183015826004
속초,2025-05,-0.152,2025,5,83.3,59.35204301075269,0.4675581374046513,-0.2756230586466083,0.4239385403207076,-0.5964488479718153,0.0796181871094555,-0.14937778876590532,-0.09212879479706512
속초,2025-06,-0.551,2025,6,83.3,47.56422222222224,0.4675581374046513,-0.7690106228834314,0.4239385403207076,-1.9328647628310813,0.0796181871094555,-0.7593122817979351,-0.5495796645710874
속초,2025-07,-1.315,2025,7,83.3,51.010645161290334,0.4675581374046513,-1.7137427007704806,0.4239385403207076,-1.5421348265914547,0.0796181871094555,-0.9439796623470759,-0.688080199982943
속초,2025-08,-1.656,2025,8,83.3,59.26634408602151,0.4675581374046513,-2.1354097669478156,0.4239385403207076,-0.6061647580583096,0.0796181871094555,-0.7725453282284725,-0.5595044493939906
속초,2025-09,-1.281,2025,9,83.3,64.1108888888889,0.4675581374046513,-1.6716996501838843,0.4239385403207076,-0.05692610818841697,0.0796181871094555,-0.4348957393505312,-0.30626725773553454
속초,2025-10,0.725,2025,10,83.3,70.96300000000001,0.4675581374046513,0.8088403344253059,0.4239385403207076,0.7199155577608082,0.0796181871094555,0.6508981441689405,0.5080781549040693
원주,2023-01,-0.206,2023,1,81.9,65.25946236559139,0.3944838039200373,-0.3423973154606144,0.2879320684981977,0.0732906554685247,-0.6094271841819835,0.006275136168702659,-0.14765044391896887
원주,2023-02,-0.087,2023,2,81.9,61.48535714285714,0.3944838039200373,-0.19524663840752687,0.2879320684981977,-0.35458947390391365,-0.6094271841819835,-0.08730134793774762,-0.21783280699880658
원주,2023-03,-1.255,2023,3,81.9,57.384408602150536,0.3944838039200373,-1.6395490820882517,0.2879320684981977,-0.8195246806854578,-0.6094271841819835,-0.7237138980918373,-0.6951422196143738
원주,2023-04,-1.974,2023,4,81.9,54.42122222222222,0.3944838039200373,-2.5286359459636296,0.2879320684981977,-1.155468830827573,-0.6094271841819835,-1.1320575694310016,-1.001399973118747
원주,2023-05,-1.152,2023,5,81.9,54.32365591397849,0.3944838039200373,-1.512183370017092,0.2879320684981977,-1.166530177061972,-0.6094271841819835,-0.7969271595269554,-0.7500521656907124
